departure location: 49-239 or 247-960
departure station: 43-135 or 155-963
departure platform: 27-426 or 449-955
departure track: 43-655 or 680-949
departure date: 49-159 or 175-970
departure time: 44-257 or 280-970
arrival location: 26-825 or 848-950
arrival station: 25-549 or 557-956
arrival platform: 50-460 or 486-964
arrival track: 50-368 or 385-950
class: 45-644 or 653-966
duration: 28-210 or 216-972
price: 25-193 or 206-969
route: 45-727 or 734-949
row: 39-520 or 537-970
seat: 42-611 or 627-956
train: 34-296 or 307-952
type: 25-343 or 349-949
wagon: 41-309 or 326-964
zone: 49-118 or 132-952

your ticket:
157,73,79,191,113,59,109,61,103,101,67,193,97,179,107,89,53,71,181,83

nearby tickets:
806,748,255,348,591,557,353,155,66,392,223,342,96,285,789,692,543,486,501,744
688,57,344,850,426,702,692,768,335,134,894,237,810,290,227,88,689,805,820,933
628,728,926,787,910,866,740,926,631,549,815,308,543,746,639,189,208,907,713,544
290,654,349,893,68,251,293,765,986,562,397,256,579,386,604,891,176,186,902,68
65,459,619,867,558,872,540,326,852,114,937,503,569,66,758,740,711,608,354,333
362,791,812,918,778,910,218,985,761,713,873,401,748,689,356,600,935,135,595,773
644,723,755,175,101,728,940,800,909,789,288,606,754,367,498,401,851,579,744,250
389,738,757,78,286,725,698,693,80,803,351,883,635,991,811,924,559,777,857,458
349,563,603,249,217,403,736,862,175,889,117,97,495,115,713,296,574,371,908,357
60,77,218,796,609,693,607,914,88,714,715,643,885,924,714,259,863,449,386,487
507,486,73,748,769,422,755,65,793,309,296,301,560,918,104,355,230,397,458,895
402,889,880,362,708,630,597,976,864,724,610,689,334,402,357,73,946,58,940,503
78,67,559,790,335,559,819,425,807,601,206,388,923,760,97,915,911,632,354,18
10,931,749,76,114,65,116,890,789,220,943,759,236,795,425,691,389,405,409,914
150,861,257,806,928,683,631,411,84,569,486,633,781,868,207,352,821,901,857,640
878,417,565,886,874,91,949,359,812,115,55,97,190,293,898,637,593,903,575,348
187,908,913,114,581,412,805,87,818,2,386,743,947,610,771,770,628,81,228,353
811,601,208,653,561,638,95,389,509,106,628,388,372,352,819,180,68,820,156,422
512,654,559,362,924,943,591,499,870,218,870,894,751,929,947,211,282,653,686,693
293,800,412,51,135,934,309,159,750,342,653,658,497,942,871,586,216,743,513,558
203,178,718,808,576,939,815,544,750,567,877,771,497,342,102,489,740,734,820,823
855,449,91,802,394,550,352,889,111,694,388,537,177,367,855,795,946,191,684,251
722,451,823,52,457,328,860,307,401,537,868,822,299,913,415,252,503,694,860,216
342,548,419,500,200,365,106,880,654,586,255,778,759,61,395,746,580,223,503,132
892,915,223,687,883,423,741,361,709,853,696,459,634,208,592,204,918,583,710,864
721,912,560,182,392,824,204,596,924,876,757,704,877,924,509,927,606,494,511,932
775,894,886,87,289,389,410,763,538,727,715,195,804,457,766,52,516,419,768,179
764,774,717,82,822,51,759,207,818,86,582,830,724,114,361,746,587,849,410,594
180,790,112,580,307,460,340,115,328,925,857,620,118,399,247,135,117,566,643,800
402,396,856,140,419,159,727,849,334,156,83,210,79,357,925,79,91,156,364,547
90,597,537,566,338,908,899,914,70,744,250,880,186,944,591,191,906,366,752,729
224,545,420,939,186,395,873,915,349,606,744,911,67,377,755,247,184,749,806,784
871,94,654,792,102,690,873,219,746,856,404,212,225,455,898,599,52,60,653,238
342,397,230,607,101,56,411,692,357,58,537,729,502,886,849,702,930,361,361,705
842,385,356,107,708,912,713,460,206,716,405,576,881,715,228,741,914,629,710,823
106,705,858,217,809,235,341,352,763,208,294,431,206,495,891,69,593,943,85,941
709,73,802,420,284,836,486,342,939,248,631,504,777,563,802,408,79,869,184,106
90,808,572,738,874,914,793,367,51,700,766,10,689,588,454,854,754,223,505,239
402,135,935,946,579,890,641,389,364,909,113,506,792,332,495,566,802,870,23,500
54,748,765,867,516,848,899,417,364,714,597,709,640,22,849,584,74,420,923,542
256,255,997,488,349,935,889,928,226,83,409,795,627,548,807,189,880,757,773,544
545,291,886,841,773,337,175,423,571,636,786,866,488,98,101,693,415,924,78,635
792,457,825,510,581,289,57,929,396,775,895,639,854,845,922,856,355,643,107,539
737,861,586,592,882,878,866,639,113,59,889,550,565,704,405,498,400,419,563,504
720,564,606,896,398,762,403,113,778,852,795,340,881,348,285,608,855,795,885,101
332,764,62,97,605,263,424,861,873,790,514,734,78,393,287,770,392,754,248,757
721,517,642,861,230,902,749,542,549,602,116,870,348,933,596,351,518,89,941,917
390,711,303,876,181,634,933,86,786,353,50,132,206,288,488,689,407,804,415,391
458,111,224,404,74,316,338,945,457,63,222,233,393,639,565,819,793,884,745,68
109,900,709,907,868,921,695,254,290,883,220,101,219,280,231,399,513,363,872,302
606,704,768,249,594,159,99,817,781,188,488,911,797,66,280,247,718,63,901,369
804,299,237,335,234,782,752,511,655,760,505,866,763,308,76,459,411,582,571,893
615,935,568,179,901,61,773,221,761,419,760,655,542,802,630,60,891,794,105,56
888,351,599,185,716,96,641,57,763,395,925,394,509,413,692,708,24,63,291,689
250,254,933,599,876,606,65,896,893,614,353,290,768,280,502,920,507,61,425,492
703,386,806,741,460,805,898,390,425,701,451,224,138,66,581,718,822,597,790,227
906,825,569,407,352,860,388,938,78,347,68,394,735,158,577,707,898,226,178,800
235,894,717,245,227,106,764,334,909,655,393,538,712,410,537,938,585,797,51,54
541,908,991,825,691,76,230,221,454,514,818,876,929,286,360,296,509,868,389,518
193,449,885,181,508,327,693,221,216,945,608,162,451,547,365,361,754,945,399,763
401,233,653,177,291,594,309,563,400,460,490,344,68,256,941,703,907,744,768,80
257,67,905,208,624,107,904,293,577,343,421,605,747,630,936,308,111,912,409,386
132,518,281,502,228,355,796,519,217,232,920,696,222,230,584,157,613,699,101,282
78,786,188,862,106,868,819,747,584,919,794,610,386,728,179,922,109,783,397,60
576,772,280,602,978,631,794,537,400,342,565,397,580,854,930,710,387,596,50,707
747,786,767,277,609,452,283,296,607,285,489,816,207,490,856,449,743,206,412,768
906,817,497,691,927,897,718,567,114,247,801,417,803,883,296,8,405,155,610,906
632,770,406,706,520,608,566,742,749,737,878,824,351,511,848,606,851,708,103,199
889,209,330,788,881,606,721,935,62,717,635,248,709,926,944,928,597,212,759,339
507,805,175,865,713,154,589,251,639,504,599,791,809,112,694,945,423,601,134,185
858,99,633,981,361,882,654,421,565,873,56,250,288,859,510,713,576,510,101,758
66,682,686,714,814,900,854,55,76,546,488,100,406,367,186,142,761,867,545,876
902,713,884,718,738,849,360,543,16,407,237,109,821,72,727,781,357,804,233,848
911,329,745,903,573,921,922,881,580,492,402,329,466,573,410,96,874,386,643,108
355,749,52,863,610,854,216,879,727,753,426,231,79,335,326,336,769,863,799,428
569,721,629,188,289,633,894,565,426,251,547,318,745,636,385,694,741,512,516,892
796,404,492,94,797,291,577,687,839,544,557,943,368,50,722,225,89,451,567,548
182,569,936,135,211,157,294,50,61,506,90,784,224,352,103,872,764,548,680,491
923,223,756,722,308,630,390,886,328,64,283,940,656,239,682,743,796,210,94,582
117,702,710,709,271,218,562,209,801,941,589,815,898,917,640,889,633,95,748,800
117,770,101,848,714,889,798,294,414,593,937,183,897,558,225,803,807,299,784,876
705,548,703,385,787,824,566,222,90,723,56,218,76,105,388,78,916,201,630,880
746,204,513,90,872,333,336,770,684,803,591,115,719,933,771,708,942,902,855,639
724,877,184,877,774,895,106,351,251,813,569,790,606,88,746,560,900,254,623,61
488,571,583,878,571,329,190,400,180,634,851,901,367,908,728,389,886,821,599,635
493,709,913,307,894,393,223,702,363,291,219,813,277,395,943,920,765,940,715,81
341,851,566,871,352,909,18,456,608,801,764,743,89,83,801,853,249,887,921,920
328,817,368,451,703,682,134,116,506,637,64,399,386,189,7,401,597,887,90,873
731,571,852,583,452,598,640,108,898,537,934,236,913,795,489,584,708,294,763,505
388,185,697,765,766,50,744,506,88,338,869,911,360,327,738,423,926,743,305,252
766,927,548,730,767,902,414,578,654,762,600,824,335,333,893,411,716,353,57,356
746,808,210,180,694,678,936,703,417,365,700,406,183,900,815,595,70,158,923,53
771,91,797,711,999,388,558,59,609,799,357,633,186,396,69,902,629,103,455,234
858,641,406,188,921,629,558,58,709,180,399,450,411,855,798,896,911,893,232,830
106,398,281,892,248,516,719,392,911,63,560,135,350,254,1,796,699,411,762,775
76,823,507,588,208,179,217,697,818,516,608,547,169,580,557,680,366,309,879,603
551,823,57,220,91,792,940,558,133,83,857,458,175,53,609,579,216,407,230,912
578,340,115,116,788,85,714,500,338,572,505,862,934,715,927,517,869,516,841,492
308,141,387,98,361,699,282,231,392,918,175,284,107,343,599,601,81,415,294,53
726,654,254,873,810,412,176,79,255,247,348,545,761,726,748,945,85,783,548,878
511,815,793,512,292,228,820,606,175,991,927,338,680,159,948,753,593,175,852,59
495,590,500,854,800,567,349,795,185,359,500,242,749,871,883,189,938,603,918,585
230,929,789,717,380,852,870,106,806,721,745,811,761,722,784,896,352,509,631,704
935,909,745,103,811,864,865,924,654,239,393,352,93,911,87,421,296,345,398,886
776,402,414,861,187,403,580,775,365,362,698,908,199,802,824,88,690,558,111,598
